,	sp 
phẽn	f ɛ5 n 
phến	f eɜ n 
phền	f e2 n 
phển	f e4 n 
phễn	f e5 n 
phện	f e6 n 
phỉn	f i4 n 
phịn	f i6 n 
phọn	f ɔ6 n 
phỏn	f ɔ4 n 
phốn	f oɜ n 
phồn	f o2 n 
phổn	f o4 n 
phỗn	f o5 n 
phộn	f o6 n 
phớn	f əːɜ n 
phờn	f əː2 n 
phởn	f əː4 n 
phỡn	f əː5 n 
phợn	f əː6 n 
phụn	f u6 n 
phủn	f u4 n 
phứn	f yɜ n 
phừn	f y2 n 
phửn	f y4 n 
phữn	f y5 n 
phựn	f y6 n 
phăng	f a ŋ 
phũng	f u5 ŋ 
phưng	f y ŋ 
phạng	f aː6 ŋ 
phảng	f aː4 ŋ 
phấng	f əɜ ŋ 
phầng	f ə2 ŋ 
phẩng	f ə4 ŋ 
phẫng	f ə5 ŋ 
phậng	f ə6 ŋ 
phắng	f aɜ ŋ 
phằng	f a2 ŋ 
phẳng	f a4 ŋ 
phẵng	f a5 ŋ 
phặng	f a6 ŋ 
phẹng	f ɛ6 ŋ 
phẻng	f ɛ4 ŋ 
phẽng	f ɛ5 ŋ 
phọng	f ɔ6 ŋ 
phỏng	f ɔ4 ŋ 
phống	f oɜ ŋ 
phồng	f o2 ŋ 
phổng	f o4 ŋ 
phỗng	f o5 ŋ 
phộng	f o6 ŋ 
phụng	f u6 ŋ 
phủng	f u4 ŋ 
phứng	f yɜ ŋ 
phừng	f y2 ŋ 
phửng	f y4 ŋ 
phững	f y5 ŋ 
phựng	f y6 ŋ 
phĩnh	f i5 ɲ 
phạnh	f e6 ɲ 
phảnh	f e4 ɲ 
phếnh	f eɜ ɲ 
phềnh	f e2 ɲ 
phểnh	f e4 ɲ 
phễnh	f e5 ɲ 
phệnh	f e6 ɲ 
phỉnh	f i4 ɲ 
phịnh	f i6 ɲ 
phạo	f aː6 w 
phảo	f aː4 w 
phẹo	f ɛ6 w 
phẻo	f ɛ4 w 
phẽo	f ɛ5 w 
phạp	f aː6 p 
phấp	f əɜ p 
phập	f ə6 p 
phắp	f aɜ p 
phặp	f a6 p 
phẹp	f ɛ6 p 
phếp	f eɜ p 
phệp	f e6 p 
phịp	f i6 p 
phọp	f ɔ6 p 
phốp	f oɜ p 
phộp	f o6 p 
phớp	f əːɜ p 
phợp	f əː6 p 
phụp	f u6 p 
phạt	f aː6 t̪ 
phất	f əɜ t̪ 
phật	f ə6 t̪ 
phắt	f aɜ t̪ 
phặt	f a6 t̪ 
phẹt	f ɛ6 t̪ 
phết	f eɜ t̪ 
phệt	f e6 t̪ 
phịt	f i6 t̪ 
phọt	f ɔ6 t̪ 
phốt	f oɜ t̪ 
phột	f o6 t̪ 
phớt	f əːɜ t̪ 
phợt	f əː6 t̪ 
phụt	f u6 t̪ 
phứt	f yɜ t̪ 
phựt	f y6 t̪ 
phĩu	f i5 w 
phưu	f i w 
phạu	f a6 w 
phảu	f a4 w 
phấu	f əɜ w 
phầu	f ə2 w 
phẩu	f ə4 w 
phẫu	f ə5 w 
phậu	f ə6 w 
phếu	f eɜ w 
phều	f e2 w 
phểu	f e4 w 
phễu	f e5 w 
phệu	f e6 w 
phỉu	f i4 w 
phịu	f i6 w 
phứu	f iɜ w 
phừu	f i2 w 
phửu	f i4 w 
phữu	f i5 w 
phựu	f i6 w 
phạy	f a6 j 
phảy	f a4 j 
phấy	f əɪɜ 
phầy	f əɪ2 
phẩy	f əɪ4 
phẫy	f əɪ5 
phậy	f əɪ6 
phước	f yəɜ c 
phược	f yə6 c 
phươi	f yə j 
phưới	f yəɜ j 
phười	f yə2 j 
phưởi	f yə4 j 
phưỡi	f yə5 j 
phượi	f yə6 j 
phươm	f yə m 
phướm	f yəɜ m 
phườm	f yə2 m 
phưởm	f yə4 m 
phưỡm	f yə5 m 
phượm	f yə6 m 
phươn	f yə n 
phướn	f yəɜ n 
phườn	f yə2 n 
phưởn	f yə4 n 
phưỡn	f yə5 n 
phượn	f yə6 n 
phương	f yə ŋ 
phướng	f yəɜ ŋ 
phường	f yə2 ŋ 
phưởng	f yə4 ŋ 
phưỡng	f yə5 ŋ 
phượng	f yə6 ŋ 
phướp	f yəɜ p 
phượp	f yə6 p 
phướt	f yəɜ t̪ 
phượt	f yə6 t̪ 
phươu	f yə w 
phướu	f yəɜ w 
phườu	f yə2 w 
phưởu	f yə4 w 
phưỡu	f yə5 w 
phượu	f yə6 w 
pi	p i 
pia	p iə 
pim	p i m 
pin	p i n 
pinh	p i ɲ 
piu	p i w 
piêm	p iɛ m 
piên	p iɛ n 
piêng	p iɛ ŋ 
piêu	p iɛ w 
piếc	p iɛɜ c 
piệc	p iɛ6 c 
piếm	p iɛɜ m 
piềm	p iɛ2 m 
piểm	p iɛ4 m 
piễm	p iɛ5 m 
piệm	p iɛ6 m 
piến	p iɛɜ n 
piền	p iɛ2 n 
piển	p iɛ4 n 
piễn	p iɛ5 n 
piện	p iɛ6 n 
piếng	p iɛɜ ŋ 
piềng	p iɛ2 ŋ 
piểng	p iɛ4 ŋ 
piễng	p iɛ5 ŋ 
piệng	p iɛ6 ŋ 
piếp	p iɛɜ p 
piệp	p iɛ6 p 
piết	p iɛɜ t̪ 
piệt	p iɛ6 t̪ 
piếu	p iɛɜ w 
piều	p iɛ2 w 
piểu	p iɛ4 w 
piễu	p iɛ5 w 
piệu	p iɛ6 w 
po	p ɔ 
poa	p w aː 
poai	p w aː j 
poam	p w aː m 
poan	p w aː n 
poang	p w aː ŋ 
poanh	p w e ɲ 
poao	p w aː w 
poay	p w a j 
poe	p w ɛ 
poem	p w ɛ m 
poen	p w ɛ n 
poeo	p w ɛ w 
poi	p ɔ j 
pom	p ɔ m 
pon	p ɔ n 
pong	p ɔ ŋ 
poong	p ɔ ŋ 
poà	p w aː2 
poài	p w aː2 j 
poàm	p w aː2 m 
poàn	p w aː2 n 
poàng	p w aː2 ŋ 
poành	p w e2 ɲ 
poào	p w aː2 w 
poày	p w a2 j 
poá	p w aːɜ 
poác	p w aːɜ c 
poách	p w eɜ c 
poái	p w aːɜ j 
poám	p w aːɜ m 
poán	p w aːɜ n 
poáng	p w aːɜ ŋ 
poánh	p w eɜ ɲ 
poáo	p w aːɜ w 
poáp	p w aːɜ p 
poát	p w aːɜ t̪ 
poáy	p w aɜ j 
poã	p w aː5 
poãi	p w aː5 j 
poãm	p w aː5 m 
poãn	p w aː5 n 
poãng	p w aː5 ŋ 
poãnh	p w e5 ɲ 
poão	p w aː5 w 
poãy	p w a5 j 
poè	p w ɛ2 
poèm	p w ɛ2 m 
poèn	p w ɛ2 n 
poèo	p w ɛ2 w 
poé	p w ɛɜ 
poém	p w ɛɜ m 
poén	p w ɛɜ n 
poéo	p w ɛɜ w 
poét	p w ɛɜ t̪ 
poòng	p w ɔ2 ŋ 
poóc	p w ɔɜ k 
poóng	p w ɔɜ ŋ 
poõng	p w ɔ5 ŋ 
poạ	p w aː6 
poả	p w aː4 
poẹ	p w ɛ6 
poẻ	p w ɛ4 
poẽ	p w ɛ5 
poạc	p w aː6 c 
poắc	p w aɜ c 
poặc	p w a6 c 
poọc	p w ɔ6 k 
poạch	p w e6 c 
poại	p w aː6 j 
poải	p w aː4 j 
poăm	p w a m 
poạm	p w aː6 m 
poảm	p w aː4 m 
poắm	p w aɜ m 
poằm	p w a2 m 
poẳm	p w a4 m 
poẵm	p w a5 m 
poặm	p w a6 m 
poẹm	p w ɛ6 m 
poẻm	p w ɛ4 m 
poẽm	p w ɛ5 m 
poăn	p w a n 
poạn	p w aː6 n 
poản	p w aː4 n 
poắn	p w aɜ n 
poằn	p w a2 n 
poẳn	p w a4 n 
poẵn	p w a5 n 
poặn	p w a6 n 
poẹn	p w ɛ6 n 
poẻn	p w ɛ4 n 
poẽn	p w ɛ5 n 
poăng	p w a ŋ 
poạng	p w aː6 ŋ 
poảng	p w aː4 ŋ 
poắng	p w aɜ ŋ 
poằng	p w a2 ŋ 
poẳng	p w a4 ŋ 
poẵng	p w a5 ŋ 
poặng	p w a6 ŋ 
poọng	p w ɔ6 ŋ 
poỏng	p w ɔ4 ŋ 
poạnh	p w e6 ɲ 
poảnh	p w e4 ɲ 
poạo	p w aː6 w 
poảo	p w aː4 w 
poẹo	p w ɛ6 w 
poẻo	p w ɛ4 w 
poẽo	p w ɛ5 w 
poạp	p w aː6 p 
poạt	p w aː6 t̪ 
poắt	p w aɜ t̪ 
poặt	p w a6 t̪ 
poẹt	p w ɛ6 t̪ 
poạy	p w a6 j 
poảy	p w a4 j 
pu	p u 
pua	p uə 
pui	p u j 
pum	p u m 
pun	p u n 
pung	p u ŋ 
puy	p w i 
puya	p w iə 
puyn	p w i n 
puynh	p w i ɲ 
puyu	p w i w 
puyên	p w iɛ n 
puyến	p w iɛɜ n 
puyền	p w iɛ2 n 
puyển	p w iɛ4 n 
puyễn	p w iɛ5 n 
puyện	p w iɛ6 n 
puyết	p w iɛɜ t̪ 
puyệt	p w iɛ6 t̪ 
puân	p w ə n 
puâng	p w ə ŋ 
puây	p w əɪ 
puê	p w e 
puênh	p w e ɲ 
puôi	p uə j 
puôm	p uə m 
puôn	p uə n 
puông	p uə ŋ 
puý	p w iɜ 
puýa	p w iəɜ 
puých	p w iɜ c 
puýn	p w iɜ n 
puýnh	p w iɜ ɲ 
puýp	p w iɜ p 
puýt	p w iɜ t̪ 
puýu	p w iɜ w 
puơ	p w əː 
puế	p w eɜ 
puề	p w e2 
puể	p w e4 
puễ	p w e5 
puệ	p w e6 
puớ	p w əːɜ 
puờ	p w əː2 
puở	p w əː4 
puỡ	p w əː5 
puợ	p w əː6 
puỳ	p w i2 
puỵ	p w i6 
puỷ	p w i4 
puỹ	p w i5 
puỳa	p w iə2 
puỵa	p w iə6 
puỷa	p w iə4 
puỹa	p w iə5 
puốc	p uəɜ c 
puộc	p uə6 c 
puếch	p w eɜ c 
puệch	p w e6 c 
puỵch	p w i6 c 
puối	p uəɜ j 
puồi	p uə2 j 
puổi	p uə4 j 
puỗi	p uə5 j 
puội	p uə6 j 
puốm	p uəɜ m 
puồm	p uə2 m 
puổm	p uə4 m 
puỗm	p uə5 m 
puộm	p uə6 m 
puấn	p w əɜ n 
puần	p w ə2 n 
puẩn	p w ə4 n 
puẫn	p w ə5 n 
puận	p w ə6 n 
puốn	p uəɜ n 
puồn	p uə2 n 
puổn	p uə4 n 
puỗn	p uə5 n 
puộn	p uə6 n 
puỳn	p w i2 n 
puỵn	p w i6 n 
puỷn	p w i4 n 
puỹn	p w i5 n 
puấng	p w əɜ ŋ 
puầng	p w ə2 ŋ 
puẩng	p w ə4 ŋ 
puẫng	p w ə5 ŋ 
puậng	p w ə6 ŋ 
puống	p uəɜ ŋ 
puồng	p uə2 ŋ 
puổng	p uə4 ŋ 
puỗng	p uə5 ŋ 
puộng	p uə6 ŋ 
puếnh	p w eɜ ɲ 
puềnh	p w e2 ɲ 
puểnh	p w e4 ɲ 
puễnh	p w e5 ɲ 
puệnh	p w e6 ɲ 
puỳnh	p w i2 ɲ 
puỵnh	p w i6 ɲ 
puỷnh	p w i4 ɲ 
puỹnh	p w i5 ɲ 
puốp	p uəɜ p 
puộp	p uə6 p 
puỵp	p w i6 p 
puất	p w əɜ t̪ 
puật	p w ə6 t̪ 
puốt	p uəɜ t̪ 
puột	p uə6 t̪ 
puỵt	p w i6 t̪ 
puỳu	p w i2 w 
puỵu	p w i6 w 
puỷu	p w i4 w 
puỹu	p w i5 w 
puấy	p w əɪɜ 
puầy	p w əɪ2 
puẩy	p w əɪ4 
puẫy	p w əɪ5 
puậy	p w əɪ6 
py	p i 
pà	p aː2 
pài	p aː2 j 
pàm	p aː2 m 
pàn	p aː2 n 
pàng	p aː2 ŋ 
pành	p e2 ɲ 
pào	p aː2 w 
pàu	p a2 w 
pày	p a2 j 
pá	p aːɜ 
pác	p aːɜ c 
pách	p eɜ c 
pái	p aːɜ j 
pám	p aːɜ m 
pán	p aːɜ n 
páng	p aːɜ ŋ 
pánh	p eɜ ɲ 
páo	p aːɜ w 
páp	p aːɜ p 
pát	p aːɜ t̪ 
páu	p aɜ w 
páy	p aɜ j 
pâm	p ə m 
pân	p ə n 
pâng	p ə ŋ 
pâu	p ə1 w 
pây	p əɪ 
pã	p aː5 
pãi	p aː5 j 
pãm	p aː5 m 
pãn	p aː5 n 
pãng	p aː5 ŋ 
pãnh	p e5 ɲ 
pão	p aː5 w 
pãu	p a5 w 
pãy	p a5 j 
pè	p ɛ2 
pèm	p ɛ2 m 
pèn	p ɛ2 n 
pèng	p ɛ2 ŋ 
pèo	p ɛ2 w 
pé	p ɛɜ 
péc	p ɛɜ c 
pém	p ɛɜ m 
pén	p ɛɜ n 
péng	p ɛɜ ŋ 
péo	p ɛɜ w 
pép	p ɛɜ p 
pét	p ɛɜ t̪ 
pê	p e 
pêm	p e m 
pên	p e n 
pênh	p e ɲ 
pêu	p e1 w 
pì	p i2 
pìa	p iə2 
pìm	p i2 m 
pìn	p i2 n 
pình	p i2 ɲ 
pìu	p i2 w 
pí	p iɜ 
pía	p iəɜ 
pích	p iɜ c 
pím	p iɜ m 
pín	p iɜ n 
pính	p iɜ ɲ 
píp	p iɜ p 
pít	p iɜ t̪ 
píu	p iɜ w 
pò	p ɔ2 
pòi	p ɔ2 j 
pòm	p ɔ2 m 
pòn	p ɔ2 n 
pòng	p ɔ2 ŋ 
pó	p ɔɜ 
póc	p ɔɜ k 
pói	p ɔɜ j 
póm	p ɔɜ m 
pón	p ɔɜ n 
póng	p ɔɜ ŋ 
póp	p ɔɜ p 
pót	p ɔɜ t̪ 
pô	p o 
pôi	p o j 
pôm	p o m 
pôn	p o n 
pông	p o ŋ 
põ	p ɔ5 
põi	p ɔ5 j 
põm	p ɔ5 m 
põn	p ɔ5 n 
põng	p ɔ5 ŋ 
pù	p u2 
pùa	p uə2 
pùi	p u2 j 
pùm	p u2 m 
pùn	p u2 n 
pùng	p u2 ŋ 
pú	p uɜ 
púa	p uəɜ 
púc	p uɜ c 
púi	p uɜ j 
púm	p uɜ m 
pún	p uɜ n 
púng	p uɜ ŋ 
púp	p uɜ p 
pút	p uɜ t̪ 
pý	p iɜ 
pĩ	p i5 
pũ	p u5 
pơ	p əː 
pư	p y 
pạ	p aː6 
pả	p aː4 
pẹ	p ɛ6 
pẻ	p ɛ4 
pẽ	p ɛ5 
pế	p eɜ 
pề	p e2 
pể	p e4 
pễ	p e5 
pệ	p e6 
pỉ	p i4 
pị	p i6 
pọ	p ɔ6 
pỏ	p ɔ4 
pố	p oɜ 
pồ	p o2 
pổ	p o4 
pỗ	p o5 
pộ	p o6 
pớ	p əːɜ 
pờ	p əː2 
pở	p əː4 
pỡ	p əː5 
pợ	p əː6 
pụ	p u6 
pủ	p u4 
pứ	p yɜ 
pừ	p y2 
pử	p y4 
pữ	p y5 
pự	p y6 
pỳ	p i2 
pỵ	p i6 
pỷ	p i4 
pỹ	p i5 
pĩa	p iə5 
pũa	p uə5 
pưa	p yə 
pỉa	p iə4 
pịa	p iə6 
pụa	p uə6 
pủa	p uə4 
pứa	p yəɜ 
pừa	p yə2 
pửa	p yə4 
pữa	p yə5 
pựa	p yə6 
pạc	p aː6 c 
pấc	p əɜ c 
pậc	p ə6 c 
pắc	p aɜ c 
pặc	p a6 c 
pẹc	p ɛ6 c 
pọc	p ɔ6 k 
pốc	p oɜ k 
pộc	p o6 k 
pục	p u6 c 
pức	p yɜ c 
pực	p y6 c 
pạch	p e6 c 
pếch	p eɜ c 
pệch	p e6 c 
pịch	p i6 c 
pũi	p u5 j 
pơi	p əː j 
pưi	p y j 
pại	p aː6 j 
pải	p aː4 j 
pọi	p ɔ6 j 
pỏi	p ɔ4 j 
pối	p oɜ j 
pồi	p o2 j 
pổi	p o4 j 
pỗi	p o5 j 
pội	p o6 j 
pới	p əːɜ j 
pời	p əː2 j 
pởi	p əː4 j 
pỡi	p əː5 j 
pợi	p əː6 j 
pụi	p u6 j 
pủi	p u4 j 
pứi	p yɜ j 
pừi	p y2 j 
pửi	p y4 j 
pữi	p y5 j 
pựi	p y6 j 
păm	p a m 
pĩm	p i5 m 
pũm	p u5 m 
pơm	p əː m 
pưm	p y m 
pạm	p aː6 m 
pảm	p aː4 m 
pấm	p əɜ m 
pầm	p ə2 m 
pẩm	p ə4 m 
pẫm	p ə5 m 
pậm	p ə6 m 
pắm	p aɜ m 
pằm	p a2 m 
pẳm	p a4 m 
pẵm	p a5 m 
pặm	p a6 m 
pẹm	p ɛ6 m 
pẻm	p ɛ4 m 
pẽm	p ɛ5 m 
pếm	p eɜ m 
pềm	p e2 m 
pểm	p e4 m 
pễm	p e5 m 
pệm	p e6 m 
pỉm	p i4 m 
pịm	p i6 m 
pọm	p ɔ6 m 
pỏm	p ɔ4 m 
pốm	p oɜ m 
pồm	p o2 m 
pổm	p o4 m 
pỗm	p o5 m 
pộm	p o6 m 
pớm	p əːɜ m 
pờm	p əː2 m 
pởm	p əː4 m 
pỡm	p əː5 m 
pợm	p əː6 m 
pụm	p u6 m 
pủm	p u4 m 
pứm	p yɜ m 
pừm	p y2 m 
pửm	p y4 m 
pữm	p y5 m 
pựm	p y6 m 
păn	p a n 
pĩn	p i5 n 
pũn	p u5 n 
pơn	p əː n 
pưn	p y n 
pạn	p aː6 n 
pản	p aː4 n 
pấn	p əɜ n 
pần	p ə2 n 
pẩn	p ə4 n 
pẫn	p ə5 n 
pận	p ə6 n 
pắn	p aɜ n 
pằn	p a2 n 
pẳn	p a4 n 
pẵn	p a5 n 
pặn	p a6 n 
pẹn	p ɛ6 n 
pẻn	p ɛ4 n 
pẽn	p ɛ5 n 
pến	p eɜ n 
pền	p e2 n 
pển	p e4 n 
pễn	p e5 n 
pện	p e6 n 
pỉn	p i4 n 
pịn	p i6 n 
pọn	p ɔ6 n 
pỏn	p ɔ4 n 
pốn	p oɜ n 
pồn	p o2 n 
pổn	p o4 n 
pỗn	p o5 n 
pộn	p o6 n 
pớn	p əːɜ n 
pờn	p əː2 n 
pởn	p əː4 n 
pỡn	p əː5 n 
pợn	p əː6 n 
pụn	p u6 n 
pủn	p u4 n 
pứn	p yɜ n 
pừn	p y2 n 
pửn	p y4 n 
pữn	p y5 n 
pựn	p y6 n 
păng	p a ŋ 
pũng	p u5 ŋ 
pưng	p y ŋ 
pạng	p aː6 ŋ 
pảng	p aː4 ŋ 
pấng	p əɜ ŋ 
pầng	p ə2 ŋ 
pẩng	p ə4 ŋ 
pẫng	p ə5 ŋ 
pậng	p ə6 ŋ 
pắng	p aɜ ŋ 
pằng	p a2 ŋ 
pẳng	p a4 ŋ 
pẵng	p a5 ŋ 
pặng	p a6 ŋ 
pẹng	p ɛ6 ŋ 
pẻng	p ɛ4 ŋ 
pẽng	p ɛ5 ŋ 
pọng	p ɔ6 ŋ 
pỏng	p ɔ4 ŋ 
pống	p oɜ ŋ 
pồng	p o2 ŋ 
pổng	p o4 ŋ 
pỗng	p o5 ŋ 
pộng	p o6 ŋ 
pụng	p u6 ŋ 
pủng	p u4 ŋ 
pứng	p yɜ ŋ 
pừng	p y2 ŋ 
pửng	p y4 ŋ 
pững	p y5 ŋ 
pựng	p y6 ŋ 
pĩnh	p i5 ɲ 
pạnh	p e6 ɲ 
pảnh	p e4 ɲ 
pếnh	p eɜ ɲ 
pềnh	p e2 ɲ 
pểnh	p e4 ɲ 
pễnh	p e5 ɲ 
pệnh	p e6 ɲ 
pỉnh	p i4 ɲ 
pịnh	p i6 ɲ 
pạo	p aː6 w 
pảo	p aː4 w 
pẹo	p ɛ6 w 
pẻo	p ɛ4 w 
pẽo	p ɛ5 w 
pạp	p aː6 p 
pấp	p əɜ p 
pập	p ə6 p 
pắp	p aɜ p 
pặp	p a6 p 
pẹp	p ɛ6 p 
pếp	p eɜ p 
pệp	p e6 p 
pịp	p i6 p 
pọp	p ɔ6 p 
pốp	p oɜ p 
pộp	p o6 p 
pớp	p əːɜ p 
pợp	p əː6 p 
pụp	p u6 p 
pạt	p aː6 t̪ 
pất	p əɜ t̪ 
pật	p ə6 t̪ 
pắt	p aɜ t̪ 
pặt	p a6 t̪ 
pẹt	p ɛ6 t̪ 
pết	p eɜ t̪ 
pệt	p e6 t̪ 
pịt	p i6 t̪ 
pọt	p ɔ6 t̪ 
pốt	p oɜ t̪ 
pột	p o6 t̪ 
pớt	p əːɜ t̪ 
pợt	p əː6 t̪ 
pụt	p u6 t̪ 
pứt	p yɜ t̪ 
pựt	p y6 t̪ 
pĩu	p i5 w 
pưu	p i w 
pạu	p a6 w 
pảu	p a4 w 
pấu	p əɜ w 
pầu	p ə2 w 
pẩu	p ə4 w 
pẫu	p ə5 w 
pậu	p ə6 w 
pếu	p eɜ w 
pều	p e2 w 
pểu	p e4 w 
pễu	p e5 w 
pệu	p e6 w 
pỉu	p i4 w 
pịu	p i6 w 
pứu	p iɜ w 
pừu	p i2 w 
pửu	p i4 w 
pữu	p i5 w 
pựu	p i6 w 
pạy	p a6 j 
pảy	p a4 j 
pấy	p əɪɜ 
pầy	p əɪ2 
pẩy	p əɪ4 
pẫy	p əɪ5 
pậy	p əɪ6 
pước	p yəɜ c 
pược	p yə6 c 
pươi	p yə j 
pưới	p yəɜ j 
pười	p yə2 j 
pưởi	p yə4 j 
pưỡi	p yə5 j 
pượi	p yə6 j 
pươm	p yə m 
pướm	p yəɜ m 
pườm	p yə2 m 
pưởm	p yə4 m 
pưỡm	p yə5 m 
pượm	p yə6 m 
pươn	p yə n 
pướn	p yəɜ n 
pườn	p yə2 n 
pưởn	p yə4 n 
pưỡn	p yə5 n 
pượn	p yə6 n 
pương	p yə ŋ 
pướng	p yəɜ ŋ 
pường	p yə2 ŋ 
pưởng	p yə4 ŋ 
pưỡng	p yə5 ŋ 
pượng	p yə6 ŋ 
pướp	p yəɜ p 
pượp	p yə6 p 
pướt	p yəɜ t̪ 
pượt	p yə6 t̪ 
pươu	p yə w 
pướu	p yəɜ w 
pườu	p yə2 w 
pưởu	p yə4 w 
pưỡu	p yə5 w 
pượu	p yə6 w 
qu	k w 
qua	k w aː 
quai	k w aː j 
quam	k w aː m 
quan	k w aː n 
quang	k w aː ŋ 
quanh	k w e ɲ 
quao	k w aː w 
quau	k w a w 
quay	k w a j 
que	k w ɛ 
quem	k w ɛ m 
quen	k w ɛ n 
queng	k w ɛ ŋ 
queo	k w ɛ w 
qui	k w j 
quia	k w iə 
quim	k w j m 
quin	k w j n 
quinh	k w j ɲ 
quiu	k w i w 
quiêm	k w iɛ m 
quiên	k w iɛ n 
quiêng	k w iɛ ŋ 
quiêu	k w iɛ w 
quiếc	k w iɛɜ c 
quiệc	k w iɛ6 c 
quiếm	k w iɛɜ m 
quiềm	k w iɛ2 m 
quiểm	k w iɛ4 m 
quiễm	k w iɛ5 m 
quiệm	k w iɛ6 m 
quiến	k w iɛɜ n 
quiền	k w iɛ2 n 
quiển	k w iɛ4 n 
quiễn	k w iɛ5 n 
quiện	k w iɛ6 n 
quiếng	k w iɛɜ ŋ 
quiềng	k w iɛ2 ŋ 
quiểng	k w iɛ4 ŋ 
quiễng	k w iɛ5 ŋ 
quiệng	k w iɛ6 ŋ 
quiếp	k w iɛɜ p 
quiệp	k w iɛ6 p 
quiết	k w iɛɜ t̪ 
quiệt	k w iɛ6 t̪ 
quiếu	k w iɛɜ w 
quiều	k w iɛ2 w 
quiểu	k w iɛ4 w 
quiễu	k w iɛ5 w 
quiệu	k w iɛ6 w 
qum	k w m 
qun	k w n 
qung	k w ŋ 
quo	k w ɔ 
quoa	k w w aː 
quoai	k w w aː j 
quoam	k w w aː m 
quoan	k w w aː n 
quoang	k w w aː ŋ 
quoanh	k w w e ɲ 
quoao	k w w aː w 
quoay	k w w a j 
quoe	k w w ɛ 
quoem	k w w ɛ m 
quoen	k w w ɛ n 
quoeo	k w w ɛ w 
quoi	k w ɔ j 
quom	k w ɔ m 
quon	k w ɔ n 
quong	k w ɔ ŋ 
quoong	k w ɔ ŋ 
quoà	k w w aː2 
quoài	k w w aː2 j 
quoàm	k w w aː2 m 
quoàn	k w w aː2 n 
quoàng	k w w aː2 ŋ 
quoành	k w w e2 ɲ 
quoào	k w w aː2 w 
quoày	k w w a2 j 
quoá	k w w aːɜ 
quoác	k w w aːɜ c 
quoách	k w w eɜ c 
quoái	k w w aːɜ j 
quoám	k w w aːɜ m 
quoán	k w w aːɜ n 
quoáng	k w w aːɜ ŋ 
quoánh	k w w eɜ ɲ 
quoáo	k w w aːɜ w 
quoáp	k w w aːɜ p 
quoát	k w w aːɜ t̪ 
quoáy	k w w aɜ j 
quoã	k w w aː5 
quoãi	k w w aː5 j 
quoãm	k w w aː5 m 
quoãn	k w w aː5 n 
quoãng	k w w aː5 ŋ 
quoãnh	k w w e5 ɲ 
quoão	k w w aː5 w 
quoãy	k w w a5 j 
quoè	k w w ɛ2 
quoèm	k w w ɛ2 m 
quoèn	k w w ɛ2 n 
quoèo	k w w ɛ2 w 
quoé	k w w ɛɜ 
quoém	k w w ɛɜ m 
quoén	k w w ɛɜ n 
quoéo	k w w ɛɜ w 
quoét	k w w ɛɜ t̪ 
quoòng	k w w ɔ2 ŋ 
quoóc	k w w ɔɜ k 
quoóng	k w w ɔɜ ŋ 
quoõng	k w w ɔ5 ŋ 
quoạ	k w w aː6 
quoả	k w w aː4 
quoẹ	k w w ɛ6 
quoẻ	k w w ɛ4 
quoẽ	k w w ɛ5 
quoạc	k w w aː6 c 
quoắc	k w w aɜ c 
quoặc	k w w a6 c 
quoọc	k w w ɔ6 k 
quoạch	k w w e6 c 
quoại	k w w aː6 j 
quoải	k w w aː4 j 
quoăm	k w w a m 
quoạm	k w w aː6 m 
quoảm	k w w aː4 m 
quoắm	k w w aɜ m 
quoằm	k w w a2 m 
quoẳm	k w w a4 m 
quoẵm	k w w a5 m 
quoặm	k w w a6 m 
quoẹm	k w w ɛ6 m 
quoẻm	k w w ɛ4 m 
quoẽm	k w w ɛ5 m 
quoăn	k w w a n 
quoạn	k w w aː6 n 
quoản	k w w aː4 n 
quoắn	k w w aɜ n 
quoằn	k w w a2 n 
quoẳn	k w w a4 n 
quoẵn	k w w a5 n 
quoặn	k w w a6 n 
quoẹn	k w w ɛ6 n 
quoẻn	k w w ɛ4 n 
quoẽn	k w w ɛ5 n 
quoăng	k w w a ŋ 
quoạng	k w w aː6 ŋ 
quoảng	k w w aː4 ŋ 
quoắng	k w w aɜ ŋ 
quoằng	k w w a2 ŋ 
quoẳng	k w w a4 ŋ 
quoẵng	k w w a5 ŋ 
quoặng	k w w a6 ŋ 
quoọng	k w w ɔ6 ŋ 
quoỏng	k w w ɔ4 ŋ 
quoạnh	k w w e6 ɲ 
quoảnh	k w w e4 ɲ 
quoạo	k w w aː6 w 
quoảo	k w w aː4 w 
quoẹo	k w w ɛ6 w 
quoẻo	k w w ɛ4 w 
quoẽo	k w w ɛ5 w 
quoạp	k w w aː6 p 
quoạt	k w w aː6 t̪ 
quoắt	k w w aɜ t̪ 
quoặt	k w w a6 t̪ 
quoẹt	k w w ɛ6 t̪ 
quoạy	k w w a6 j 
quoảy	k w w a4 j 
quy	k w i 
quya	k w iə 
quyn	k w i n 
quynh	k w i ɲ 
quyên	k w iɛ n 
quyến	k w iɛɜ n 
quyền	k w iɛ2 n 
quyển	k w iɛ4 n 
quyễn	k w iɛ5 n 
quyện	k w iɛ6 n 
quyết	k w iɛɜ t̪ 
quyệt	k w iɛ6 t̪ 
quà	k w aː2 
quài	k w aː2 j 
quàm	k w aː2 m 
quàn	k w aː2 n 
quàng	k w aː2 ŋ 
quành	k w e2 ɲ 
quào	k w aː2 w 
quàu	k w a2 w 
quày	k w a2 j 
quá	k w aːɜ 
quác	k w aːɜ c 
quách	k w eɜ c 
quái	k w aːɜ j 
